,Unnamed: 0,№ брони,Номеров,Стоимость,Внесена предоплата,Способ оплаты,Дата бронирования,Заезд,Ночей,Выезд,Источник,Категория номера,Гостей,Гостиница,Разница до заезда (дни),Продолжительность пребывания (дни)
0,0,20231129-16563-238946689,1,23750.0,23750,Банк. карта: Банк Россия (банк. карта),2023-11-28 10:34:43,2023-11-29 15:00:00,2,2023-12-01 12:00:00,Официальный сайт,Номер «Студия»,3,4,1,1
1,1,20221219-7491-174959103,1,15010.0,7505,Банк. карта: Банк Россия (банк. карта),2022-12-12 18:30:43,2022-12-19 15:00:00,2,2022-12-21 12:00:00,Официальный сайт,Номер «Стандарт»,2,3,6,1
2,2,20221211-6634-172724329,1,8400.0,8400,Отложенная электронная оплата: Банк Россия (банк. карта),2022-11-25 22:03:59,2022-12-11 15:00:00,1,2022-12-12 12:00:00,Официальный сайт,Номер «Стандарт»,2,1,15,0
3,3,20230821-6634-212247350,1,42500.0,42500,Банк. карта: Банк Россия (банк. карта),2023-07-18 15:45:46,2023-08-21 15:00:00,3,2023-08-24 12:00:00,Официальный сайт,Апартаменты с 2 спальнями с отдельным входом,4,1,33,2
4,4,20230326-6634-189784563,1,62500.0,11900,Система быстрых платежей: Эквайринг ComfortBooking (Система быстрых платежей),2023-03-23 11:04:13,2023-03-26 15:00:00,5,2023-03-31 12:00:00,Официальный сайт,Номер «Стандарт»,1,1,3,4
5,5,20220906-7491-156996750,1,44730.0,10800,Банк. карта: Банк Россия (банк. карта),2022-08-19 21:55:17,2022-09-06 15:00:00,4,2022-09-10 12:00:00,Официальный сайт,Номер «Стандарт»,2,3,17,3
6,6,20220916-6634-159230293,1,16245.0,0,Отложенная электронная оплата: Банк Россия (банк. карта),2022-08-31 13:43:46,2022-09-16 15:00:00,3,2022-09-19 12:00:00,Официальный сайт,Номер «Стандарт»,1,1,16,2
7,7,20220528-6634-126848089,1,14900.0,14900,Банк. карта: Банк Россия (банк. карта),2022-03-02 16:46:27,2022-05-28 15:00:00,2,2022-05-30 12:00:00,Официальный сайт,Номер «Стандарт»,3,1,86,1
8,8,20221226-7491-171305859,1,27370.0,27370,Банк. карта: Банк Россия (банк. карта),2022-11-16 17:17:35,2022-12-26 15:00:00,3,2022-12-29 12:00:00,Официальный сайт,Номер «Стандарт»,3,3,39,2
9,9,20220923-7491-156281458,1,22610.0,11305,Банк. карта: Банк Россия (банк. карта),2022-08-16 14:38:30,2022-09-23 15:00:00,2,2022-09-25 12:00:00,Официальный сайт,Номер «Стандарт»,3,3,38,1
10,10,20220115-6634-120041409,1,359800.0,0,Гарантия банковской картой,2022-01-04 22:20:34,2022-01-15 15:00:00,8,2022-01-23 12:00:00,booking.com (Booking.com),Коттедж с 3 спальнями,6,1,10,7
11,11,20220614-16563-140266374,1,23800.0,23800,Банк. карта: Банк Россия (банк. карта),2022-05-26 10:03:34,2022-06-14 15:00:00,1,2022-06-15 12:00:00,Официальный сайт,Номер «Студия»,2,4,19,0
12,12,20240315-7492-230745913,1,19000.0,1,Внешняя система оплаты (С предоплатой),2023-10-15 16:29:46,2024-03-15 15:00:00,2,2024-03-17 12:00:00,Яндекс.Путешествия,Номер «Стандарт»,2,2,151,1
13,13,20230721-6634-208524791,1,42200.0,42200,Банк. карта: Банк Россия (банк. карта),2023-07-02 12:59:10,2023-07-21 15:00:00,1,2023-07-22 12:00:00,Официальный сайт,Коттедж с 2 спальнями,4,1,19,0
14,14,20220625-7492-138776463,1,23700.0,13900,Банк. карта: Банк Россия (банк. карта),2022-05-17 10:25:16,2022-06-25 15:00:00,2,2022-06-27 12:00:00,Официальный сайт,Номер «Стандарт»,2,2,39,1
15,15,20220129-7491-121042191,1,15600.0,0,Гарантия банковской картой,2022-01-15 00:22:54,2022-01-29 15:00:00,2,2022-01-31 12:00:00,booking.com,Номер «Стандарт»,2,3,14,1
16,16,20230204-6634-179286748,1,14300.0,0,Отложенная электронная оплата: Банк Россия (банк. карта),2023-01-17 00:58:05,2023-02-04 15:00:00,1,2023-02-05 12:00:00,Официальный сайт,Номер «Стандарт»,2,1,18,0
17,17,20220927-16563-154064033,1,28600.0,14300,Отложенная электронная оплата: Банк Россия (банк. карта),2022-08-05 12:25:28,2022-09-27 15:00:00,2,2022-09-29 12:00:00,Бронирование из экстранета,Номер «Студия»,2,4,53,1
18,18,20230526-6634-199552958,1,18525.0,18525,Банк. карта: Банк Россия (банк. карта),2023-05-17 19:28:05,2023-05-26 15:00:00,2,2023-05-28 12:00:00,Официальный сайт,Номер «Стандарт»,2,1,8,1
19,19,20220725-6634-150721323,1,8400.0,8400,Банк. карта: Банк Россия (банк. карта),2022-07-20 00:36:23,2022-07-25 15:00:00,1,2022-07-26 12:00:00,Официальный сайт,Номер «Стандарт»,1,1,5,0
20,20,20220402-6634-130940530,1,12900.0,12900,Банк. карта [Кешбэк. МИР]: Эквайринг TravelLine Pro (Банк. карта),2022-03-30 18:06:30,2022-04-02 15:00:00,2,2022-04-04 12:00:00,Официальный сайт,Номер «Стандарт»,1,1,2,1
21,21,20240110-6634-242621779,1,16300.0,16300,Система быстрых платежей: Эквайринг ComfortBooking (Система быстрых платежей),2023-12-20 19:19:21,2024-01-10 15:00:00,1,2024-01-11 12:00:00,Официальный сайт,Номер «Люкс»,2,1,20,0
22,22,20230710-7492-207815093,1,14800.0,14800,Система быстрых платежей: Эквайринг ComfortBooking (Система быстрых платежей),2023-06-28 22:34:51,2023-07-10 15:00:00,1,2023-07-11 12:00:00,Официальный сайт,Номер «Стандарт»,2,2,11,0
23,23,20220326-7492-129894593,1,13000.0,0,При заселении,2022-03-24 09:39:09,2022-03-26 15:00:00,1,2022-03-27 12:00:00,Официальный сайт,Номер «Стандарт»,2,2,2,0
24,24,20230119-6634-172596782,1,116600.0,26200,Банк. карта: Банк Россия (банк. карта),2022-11-25 10:11:21,2023-01-19 15:00:00,3,2023-01-22 12:00:00,Официальный сайт,Коттедж с 3 спальнями,3,1,55,2
25,25,20221102-7492-166010171,1,37900.0,16700,Банк. карта: Банк Россия (банк. карта),2022-10-11 22:00:53,2022-11-02 15:00:00,2,2022-11-04 12:00:00,Официальный сайт,Номер «Студия»,4,2,21,1
26,26,20220701-6634-146096652,1,20600.0,20600,Банк. карта: Банк Россия (банк. карта),2022-06-27 11:50:56,2022-07-01 15:00:00,1,2022-07-02 12:00:00,Официальный сайт,Апартаменты с 2 спальнями с отдельным входом,4,1,4,0
27,27,20220904-16563-151435015,1,114000.0,19000,Отложенная электронная оплата: Банк Россия (банк. карта),2022-07-23 12:05:45,2022-09-04 15:00:00,6,2022-09-10 12:00:00,Бронирование из экстранета,Номер «Студия»,2,4,43,5
28,28,20230616-6634-204954113,1,44600.0,20700,Банк. карта: Банк Россия (банк. карта),2023-06-15 00:22:57,2023-06-16 15:00:00,2,2023-06-18 12:00:00,Официальный сайт,Апартаменты с 2 спальнями с отдельным входом,6,1,1,1
29,29,20220215-7492-124928354,1,6480.0,0,Гарантия банковской картой,2022-02-15 12:30:48,2022-02-15 15:00:00,1,2022-02-16 12:00:00,booking.com,Номер «Стандарт»,2,2,0,0
